planet,epoch,tc,tc_unc,sector
0,0,2458604.57636196,0.003204808824706332,11
0,1,2458613.764166226,0.0037355026350772,11
0,2,2458622.9494638946,0.005968748566236418,11
0,3,2458632.1466504573,0.0049098451320164094,12
0,4,2458641.326144738,0.003469639702787295,12
0,5,2458650.5237392476,0.0059863541001608745,12
0,80,2459339.660937701,0.007666351031610392,38
0,81,2459348.8424167307,0.004722315696262934,38
0,82,2459358.031993729,0.00281207954251627,38
0,83,2459367.2232210627,0.004622391161789582,39
0,84,2459376.4094221448,0.004371095809449746,39
0,85,2459385.6009475263,0.00267691845604265,39
1,0,2458607.7493137056,0.008179569201036118,11
1,1,2458621.652600065,0.007845026989883763,11
1,2,2458635.565473459,0.008940789983754723,12
1,3,2458649.4520466654,0.007656696971139095,12
1,53,2459344.4587260904,0.0058384783937654745,38
1,54,2459358.370043511,0.006264142040547074,38
1,55,2459372.2621480585,0.006599071317566891,39
1,56,2459386.1786549333,0.010087859938690885,39
