planet,epoch,tc,tc_unc,sector
0,0,2458687.8460254427,0.004690076294188224,14
0,2,2458698.2080910197,0.004513781643584861,14
0,3,2458703.398491199,0.004434317258197174,14
0,136,2459392.751457709,0.003571173195804982,40
0,137,2459397.9392449297,0.004332866109905644,40
0,138,2459403.11452637,0.0039588129167775245,40
0,139,2459408.2904039808,0.0036884212719259127,40
0,140,2459413.4742798144,0.0034999875231177075,40
0,141,2459418.6624492225,0.004302478231317646,41
0,142,2459423.834552006,0.004292967349308191,41
0,143,2459429.019583924,0.0035716525032195704,41
0,144,2459434.1967445193,0.003735942787201807,41
0,145,2459439.3768629907,0.006146010664756395,41
0,146,2459444.5640182192,0.0037772663039879373,41
0,204,2459745.186384325,0.005599596212914888,53
0,206,2459755.5570883104,0.004500049326848657,53
0,207,2459760.742095691,0.004518489103127477,53
0,208,2459765.927249889,0.004622491119836293,53
0,209,2459771.110270501,0.004448577457137195,54
0,210,2459776.30371458,0.004886565672776066,54
0,211,2459781.474398932,0.004404650967773297,54
0,212,2459786.6638371632,0.0046342842485057635,54
0,213,2459791.8483548653,0.004745852718832282,54
1,0,2458683.1953610154,0.00892868503904594,14
1,3,2458690.8681920995,0.007645845723801674,14
1,5,2458696.0406159908,0.009774859712908033,14
1,6,2458698.5916745253,0.0071898443879447925,14
1,7,2458701.139808616,0.008507307025714565,14
1,8,2458703.7036012756,0.008213693527766108,14
1,276,2459392.3020935077,0.006324379512215671,40
1,277,2459394.863087537,0.010448521345014856,40
1,278,2459397.4352351595,0.008390389673734332,40
1,279,2459400.0138757154,0.007392984936873116,40
1,280,2459402.5983378417,0.006419002729201738,40
1,281,2459405.152472826,0.008152644702716415,40
1,282,2459407.7222458203,0.010154978790961906,40
1,283,2459410.2969319583,0.005967474795164021,40
1,284,2459412.8804238434,0.017769925450540704,40
1,285,2459415.4471124355,0.005682858576032905,40
1,286,2459417.9996391735,0.006016905921608555,40
1,287,2459420.587049506,0.007254087981819741,41
1,288,2459423.1714595314,0.006676277830920553,41
1,289,2459425.729541709,0.006055758945361558,41
1,290,2459428.320105689,0.0162773601864479,41
1,291,2459430.8727093735,0.011812278850713547,41
1,293,2459435.9998760307,0.007651462563035247,41
1,294,2459438.575992034,0.007934278463418779,41
1,295,2459441.1300716666,0.014044614671493056,41
1,297,2459446.2652153806,0.011287314536124306,41
1,413,2459744.3040310377,0.011334015239149921,53
1,416,2459752.0165042374,0.010716366230901912,53
1,417,2459754.5837379307,0.011015826187843695,53
1,418,2459757.1721704924,0.010456898179379136,53
1,419,2459759.7595372414,0.010626950482783965,53
1,421,2459764.855747864,0.010803858475471257,53
1,422,2459767.4270231547,0.017912569022846197,53
1,423,2459770.014306311,0.0087002361106055,54
1,424,2459772.571127347,0.014479074549834287,54
1,425,2459775.133129491,0.011202958869734611,54
1,426,2459777.7567504332,0.016475618378652686,54
1,427,2459780.273269108,0.00909898132671682,54
1,429,2459785.408572805,0.0074747345548164534,54
1,430,2459787.9710516883,0.009814707574032619,54
