#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.1349251475507273,0.030303408591657477,0.04159851973799575,$R_b / R_\star$,
b_rsuma,0.08287400779611628,0.016196876034288543,0.008285768814491987,$(R_\star + R_b) / a_b$,
b_cosi,0.06856431530921774,0.018964158839968978,0.009224473224497542,$\cos{i_b}$,
b_epoch,2458879.076563142,0.002347175497561693,0.002212276216596365,$T_{0;b}$,BJD
b_period,14.950224014429741,6.910641022805919e-05,6.849157927035776e-05,$P_b$,d
b_f_c,0.0,(fixed),(fixed),$\sqrt{e_b} \cos{\omega_b}$,
b_f_s,0.0,(fixed),(fixed),$\sqrt{e_b} \sin{\omega_b}$,
host_ldc_q1_tess,0.5529451496039116,0.3636094624294414,0.3045544889854114,$q_{1; \mathrm{tess}}$,
host_ldc_q2_tess,0.5394071903208308,0.3746952481806276,0.33134127898872323,$q_{2; \mathrm{tess}}$,
ln_err_flux_tess,-5.273413516366556,0.02260185144364968,0.0237284706941292,$\log{\sigma_\mathrm{tess}}$,rel. flux
baseline_gp_offset_flux_tess,0.002256074739164088,0.0019556870085732647,0.0019204452955470467,$\mathrm{gp ln sigma (tess)}$,
baseline_gp_matern32_lnsigma_flux_tess,-4.548098685687853,0.10560729310473604,0.11691082871557867,$\mathrm{gp ln sigma (tess)}$,
baseline_gp_matern32_lnrho_flux_tess,-0.7842131445227574,0.13995273636215766,0.19334213225372388,$\mathrm{gp ln rho (tess)}$,
