#name,value,fit,bounds,label,unit,truth
#companion b astrophysical params,,,,,,
b_rr,0.0794,1,uniform 0 0.2000,$R_b / R_\star$,,
b_rsuma,0.0321,1,uniform 0.0264 0.1000,$(R_\star + R_b) / a_b$,,
b_cosi,0,1,uniform 0 1,$\cos{i_b}$,,
b_epoch,2459932.635411,1,normal 2459932.635411 0.000453,$T_{0;b}$,BJD,
b_period,40.750138,1,normal 40.750138 0.000035,$P_b$,d,
#companion c astrophysical params,,,,,,
c_rr,0.0169,1,uniform 0 0.1000,$R_c / R_\star$,,
c_rsuma,0.0768,1,uniform 0.0630 0.1000,$(R_\star + R_c) / a_c$,,
c_cosi,0,1,uniform 0 1,$\cos{i_c}$,,
c_epoch,2459941.145403,1,normal 2459941.145403 0.004107,$T_{0;c}$,BJD,
c_period,10.983694,1,normal 10.983694 0.000064,$P_b$,d,
#companion d astrophysical params,,,,,,
d_rr,0.0220,1,uniform 0 0.1000,$R_d / R_\star$,,
d_rsuma,0.0153,1,uniform 0.0127 0.1000,$(R_\star + R_d) / a_d$,,
d_cosi,0,1,uniform 0 1,$\cos{i_d}$,,
d_epoch,2458822.898380,1,normal 2458822.898380 0.005510,$T_{0;d}$,BJD,
d_period,123.058603,1,normal 123.058603 0.001051,$P_b$,d,
b_f_c,0,0,uniform 0.0 0.0,$\sqrt{e_b} \cos{\omega_b}$,,
b_f_s,0,0,uniform 0.0 0.0,$\sqrt{e_b} \sin{\omega_b}$,,
#limb darkening coefficients per instrument,,,,,,
host_ldc_q1_tess,0.5,1,uniform 0.0 1.0,$q_{1; \mathrm{tess}}$,,
host_ldc_q2_tess,0.5,1,uniform 0.0 1.0,$q_{2; \mathrm{tess}}$,,
#errors per instrument,,,,,,
ln_err_flux_tess,-6,1,uniform -10 -1,$\log{\sigma_\mathrm{tess}}$,rel. flux,
#baseline per instrument,,,,,,
baseline_gp_offset_flux_tess,0,1,uniform -0.1 0.1,$\mathrm{gp ln sigma (tess)}$,,
baseline_gp_matern32_lnsigma_flux_tess,-5,1,uniform -15 0,$\mathrm{gp ln sigma (tess)}$,,
baseline_gp_matern32_lnrho_flux_tess,0,1,uniform -1 15,$\mathrm{gp ln rho (tess)}$,,
#TTV companion b,,,,,
#b_ttv_transit_1,0,1,uniform -0.1 0.1,TTV$_\mathrm{b;1}$,d,
#TTV companion c,,,,,
#c_ttv_transit_1,0,1,uniform -0.1 0.1,TTV$_\mathrm{c;1}$,d,
