planet,epoch,tc,tc_unc,sector
0,0,2458415.6042425754,0.013184162888460573,4
0,1,2458430.539767446,0.014083189134344752,4
0,6,2458505.3098244537,0.010636785264837542,7
0,7,2458520.2484878837,0.012152307140064817,8
0,8,2458535.2206395757,0.006897308480648626,8
0,9,2458550.1915975465,0.012997312347721916,9
0,10,2458565.1242331583,0.011919203013708426,9
0,11,2458580.070701076,0.007966125775896712,10
0,12,2458595.028830137,0.00734989298791969,10
0,16,2458654.840021485,0.01042741290460685,13
0,17,2458669.7832102524,0.007125208486567369,13
0,42,2459043.5479292297,0.010155303785354826,27
0,43,2459058.5000193864,0.008230154915641344,27
0,47,2459118.300351447,0.010625641333025522,30
0,48,2459133.249078471,0.007769799162819149,30
0,49,2459148.1903610188,0.012116759243122091,31
0,50,2459163.125022083,0.014154103205960956,31
0,55,2459237.872402493,0.012645909814498724,34
0,56,2459252.8227489074,0.010634364823342032,34
0,58,2459282.7158445404,0.012781468675302724,36
0,59,2459297.661949263,0.008210270280178813,36
0,60,2459312.6215162477,0.007764656311887692,37
0,61,2459327.5603277297,0.010848795454178967,37
