#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.0910677730832334,0.0036779374818078636,0.0038372187419176834,$R_b / R_\star$,
b_rsuma,0.037790717766397995,0.003069792780108667,0.00700485827671464,$(R_\star + R_b) / a_b$,
b_cosi,0.013865193077728082,0.008643051401313676,0.01193062495564124,$\cos{i_b}$,
b_epoch,2458879.076476061,0.004149517510086298,0.004294819664210081,$T_{0;b}$,BJD
b_period,14.950271495566131,8.864230068184042e-05,8.88582355749179e-05,$P_b$,d
b_f_c,0.0,(fixed),(fixed),$\sqrt{e_b} \cos{\omega_b}$,
b_f_s,0.0,(fixed),(fixed),$\sqrt{e_b} \sin{\omega_b}$,
host_ldc_q1_tess,0.25050975560368655,0.1763841738018536,0.37220381963710175,$q_{1; \mathrm{tess}}$,
host_ldc_q2_tess,0.3437866259430201,0.24071245426961502,0.3692498932717737,$q_{2; \mathrm{tess}}$,
ln_err_flux_tess,-5.292063461456574,0.022586965102233236,0.02263592962078942,$\log{\sigma_\mathrm{tess}}$,rel. flux
baseline_gp_offset_flux_tess,0.002383507364844162,0.0019347834207170465,0.0018996727542405917,$\mathrm{gp ln sigma (tess)}$,
baseline_gp_matern32_lnsigma_flux_tess,-4.5345689255513975,0.10807258439246326,0.1198461497112504,$\mathrm{gp ln sigma (tess)}$,
baseline_gp_matern32_lnrho_flux_tess,-0.7023111342462851,0.17442322528689147,0.20559850871390073,$\mathrm{gp ln rho (tess)}$,
b_ttv_transit_1,-0.013874925451986847,0.011134287852014993,0.014993741462747248,TTV$_\mathrm{b;1}$,d
b_ttv_transit_2,-0.028610232473959496,0.01339250764343617,0.012012548772948356,TTV$_\mathrm{b;2}$,d
b_ttv_transit_3,-0.0099438571393822,0.010180237791426655,0.010593577360104384,TTV$_\mathrm{b;3}$,d
b_ttv_transit_4,-0.021554770960659844,0.013237115788877624,0.011012182337335003,TTV$_\mathrm{b;4}$,d
b_ttv_transit_5,0.00032784277069446144,0.006575633312281393,0.006538242292318322,TTV$_\mathrm{b;5}$,d
b_ttv_transit_6,0.020990801291748434,0.013034337182720486,0.010277858479360497,TTV$_\mathrm{b;6}$,d
b_ttv_transit_7,0.003363614630946893,0.009059959407766077,0.01120887273534361,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,-0.0004358291234960454,0.007906360063956216,0.007583744806900522,TTV$_\mathrm{b;8}$,d
b_ttv_transit_9,0.007420287455332658,0.007202526048978558,0.007255084695129976,TTV$_\mathrm{b;9}$,d
b_ttv_transit_10,0.01750645543008686,0.009581125363034765,0.010084464864165754,TTV$_\mathrm{b;10}$,d
b_ttv_transit_11,0.010445137091852297,0.006818595667837629,0.007158946517582698,TTV$_\mathrm{b;11}$,d
b_ttv_transit_12,0.018303290268818315,0.007467357151214174,0.00950539457115425,TTV$_\mathrm{b;12}$,d
b_ttv_transit_13,0.020105363011728467,0.00766432355395312,0.00789284988571767,TTV$_\mathrm{b;13}$,d
b_ttv_transit_14,0.019350525313552414,0.011407484961384703,0.008376652595286554,TTV$_\mathrm{b;14}$,d
b_ttv_transit_15,0.01779802638881714,0.007015471987139352,0.007520718424829292,TTV$_\mathrm{b;15}$,d
b_ttv_transit_16,0.008818070465325789,0.012225512544470157,0.010113730245069424,TTV$_\mathrm{b;16}$,d
b_ttv_transit_17,-0.006789618293036523,0.01799927933448324,0.010169620152377226,TTV$_\mathrm{b;17}$,d
b_ttv_transit_18,-0.010799403875437347,0.013997370004955718,0.009274293880200152,TTV$_\mathrm{b;18}$,d
b_ttv_transit_19,-0.01070838231591277,0.008869814173395787,0.012113459552842723,TTV$_\mathrm{b;19}$,d
b_ttv_transit_20,-0.01815696731130461,0.00805950067094776,0.007615840510611184,TTV$_\mathrm{b;20}$,d
b_ttv_transit_21,-0.02233952002005444,0.007353959234765069,0.008319025207026758,TTV$_\mathrm{b;21}$,d
b_ttv_transit_22,-0.013051557900242934,0.007711407708637534,0.0076533838890225706,TTV$_\mathrm{b;22}$,d
b_ttv_transit_23,-0.024517458070226657,0.010634842643885208,0.009118820885801925,TTV$_\mathrm{b;23}$,d
