,tic,delta_min,1st order,2nd order
0,204497617,0.00021851525330807142,True,True
3,347332255,0.00021944261575579382,True,True
4,253922296,0.00029481319795277017,False,True
1,29478974,0.0005570570052326751,True,True
2,207080350,0.00938042663182781,True,True
