planet,epoch,tc,tc_unc,sector
0,0,2458791.6335666324,0.001126684564899968,18
0,1,2458832.3832133524,0.0010783859588565025,19
0,2,2458873.1325493846,0.0010395184540686663,21
0,4,2458954.6318458784,0.0014549979019412103,23
0,5,2458995.381272425,0.0010089653667095873,25
0,15,2459402.884092411,0.000910922624981815,40
0,16,2459443.63211702,0.0009120309892552424,41
0,20,2459606.6326995622,0.0009016829038218929,47
0,21,2459647.384076901,0.0008294288093380202,49
0,22,2459688.1337415497,0.0009586118628361887,50
0,23,2459728.8826584825,0.0008759092450799197,52
0,27,2459891.888239772,0.0008762065227902702,58
0,28,2459932.636740549,0.0008847651476467448,59
0,37,2460299.388268293,0.0011275130444348773,73
